420|62190536|广东星源教育咨询有限公司|01341345000000046|null|1600|1600|1|没有地址
420|62687833|广州友好护理院|01341456000000045|null|1280|1280|3|没有地址
420|61291061|广州志泓电力科技有限公司|206803375029|null|7520|7520|17|没有地址
420|62696019|羊城铁路棠运经贸部|3602005009200033585|null|3680|3680|40|没有地址
420|62209905|广州治汇电子有限公司|3602008109200024823|null|3200|3200|46|没有地址
420|61141306|中铁特货运输有限责任公司广州分公司|3602026219200214241|null|418770|418770|66|没有地址
420|62625046|广州达安临床检验中心有限公司|44001400102053001025|null|3140|3140|102|没有地址
420|62199191|广州市广大皮具商贸城市场经营管理有限公司|44001491102059000267|null|7960|7960|135|没有地址
420|61308106|中国联合网络通信有限公司广州市分公司|44001580507050249048|null|3200|3200|139|没有地址
420|62859303|广州市众歆化工有限公司|44070001040003322|null|3360|3360|162|没有地址
420|62838240|交通银行股份有限公司广东省分行|441164670012015001950|null|3200|3200|168|没有地址
420|61259282|广东广英达拍卖有限公司|800118832902011|null|7520|7520|183|没有地址
420|61202113|广州市彩恒装饰工程有限公司|800150421202016|null|3840|3840|186|没有地址
420|61853747|广州维沃电子有限公司|9550880207106900104|null|2980|2980|201|没有地址
420|61357466|广州市粤铁经营发展有限公司|3602013519299010755|广州市荔湾区西村西湾东路18号旁边广州西站货运大楼四楼13316064088收|62931|166295|56|汇总与明细金额不一致
